,Player,Mat,Inn,NO,Runs,Avg,100,50,Point,catagory
2233,PI Pocock (ENG),25,37.0,4.0,206.0,6.24,0.0,0.0,-3.5220473843010307,6
2234,RA Legall (WI),4,5.0,0.0,50.0,10.0,0.0,0.0,-3.530091553361756,6
2235,FM King (WI),14,17.0,3.0,116.0,8.28,0.0,0.0,-3.5358294752361523,6
2236,JD Higgs (AUS),22,36.0,16.0,111.0,5.55,0.0,0.0,-3.5363880921568764,6
2237,ML Cummins (WI),14,22.0,7.0,114.0,7.6,0.0,0.0,-3.538453555174146,6
2238,FL Reifer (WI),6,12.0,0.0,111.0,9.25,0.0,0.0,-3.5389404611040383,6
2239,JN Shepherd (WI),5,8.0,0.0,77.0,9.62,0.0,0.0,-3.5439313754291337,6
2240,NAT Adcock (SA),26,39.0,12.0,146.0,5.4,0.0,0.0,-3.544741002816549,6
2241,MK Mantri (INDIA),4,8.0,1.0,67.0,9.57,0.0,0.0,-3.55140162437592,6
2242,EJ Smith (ENG),11,14.0,1.0,113.0,8.69,0.0,0.0,-3.558856074052266,6
2243,EW Clark (ENG),8,9.0,5.0,36.0,9.0,0.0,0.0,-3.5591882208838457,6
2244,T Thushara (SL),10,14.0,3.0,94.0,8.54,0.0,0.0,-3.573420226609865,6
2245,C Wesley (SA),3,5.0,0.0,49.0,9.8,0.0,0.0,-3.58180112181543,6
2246,ZS Ansari (ENG),3,5.0,0.0,49.0,9.8,0.0,0.0,-3.58180112181543,6
2247,WRS de Silva (SL),3,2.0,1.0,10.0,10.0,0.0,0.0,-3.583408016563989,6
2248,Zahoor Elahi (PAK),2,3.0,0.0,30.0,10.0,0.0,0.0,-3.5875015199832885,6
2249,PJ Martin (ENG),8,13.0,0.0,115.0,8.84,0.0,0.0,-3.5882750243389907,6
2250,N Pradeep (SL),28,50.0,17.0,132.0,4.0,0.0,0.0,-3.590002723233582,6
2251,JD Edwards (AUS),3,6.0,1.0,48.0,9.6,0.0,0.0,-3.592008614263814,6
2252,WTS Porterfield (IRE),3,6.0,0.0,58.0,9.66,0.0,0.0,-3.59248573341009,6
2253,RM Edwards (WI),5,8.0,1.0,65.0,9.28,0.0,0.0,-3.6022320520581683,6
2254,F de Wet (SA),2,2.0,0.0,20.0,10.0,0.0,0.0,-3.606205806276284,6
2255,DR Smith (ENG),5,5.0,1.0,38.0,9.5,0.0,0.0,-3.6112447957683482,6
2256,CW Henderson (SA),7,7.0,0.0,65.0,9.28,0.0,0.0,-3.6137320370101467,6
2257,TA Lloyd (ENG),1,1.0,1.0,10.0,10.0,0.0,0.0,-3.6156907674750904,6
2258,T Maruma (ZIM),1,2.0,0.0,20.0,10.0,0.0,0.0,-3.6162065032940545,6
2259,Naved Latif (PAK),1,2.0,0.0,20.0,10.0,0.0,0.0,-3.6162065032940545,6
2260,A Wharton (ENG),1,2.0,0.0,20.0,10.0,0.0,0.0,-3.6162065032940545,6
2261,EWT Tindill (NZ),5,9.0,1.0,73.0,9.12,0.0,0.0,-3.6176656144439883,6
2262,HH Francis (SA),2,4.0,0.0,39.0,9.75,0.0,0.0,-3.620772749749736,6
2263,RA Austin (WI),2,4.0,0.0,39.0,9.75,0.0,0.0,-3.620772749749736,6
2264,GK Bruk-Jackson (ZIM),2,4.0,0.0,39.0,9.75,0.0,0.0,-3.620772749749736,6
2265,JC Balderstone (ENG),2,4.0,0.0,39.0,9.75,0.0,0.0,-3.620772749749736,6
2266,B Reddy (INDIA),4,5.0,1.0,38.0,9.5,0.0,0.0,-3.6212454927861186,6
2267,Iftikhar Ahmed (PAK),3,5.0,0.0,48.0,9.6,0.0,0.0,-3.6235099932513335,6
2268,AC Dawson (SA),2,1.0,0.0,10.0,10.0,0.0,0.0,-3.624910092569279,6
2269,KV Andrew (ENG),2,4.0,1.0,29.0,9.66,0.0,0.0,-3.626455617377584,6
2270,PE Palia (INDIA),2,4.0,1.0,29.0,9.66,0.0,0.0,-3.626455617377584,6
2271,AL Phehlukwayo (SA),4,4.0,2.0,19.0,9.5,0.0,0.0,-3.626510393442847,6
2272,AP Binns (WI),5,8.0,1.0,64.0,9.14,0.0,0.0,-3.631620949945824,6
2273,RG de Alwis (SL),11,19.0,0.0,152.0,8.0,0.0,0.0,-3.6332995828632795,6
2274,JR Hammond (AUS),5,5.0,2.0,28.0,9.33,0.0,0.0,-3.63335429479386,6
2275,MG Melle (SA),7,12.0,4.0,68.0,8.5,0.0,0.0,-3.6336779414865017,6
2276,B Casson (AUS),1,1.0,0.0,10.0,10.0,0.0,0.0,-3.63491078958705,6
2277,CJ McKay (AUS),1,1.0,0.0,10.0,10.0,0.0,0.0,-3.63491078958705,6
2278,KE Palmer (ENG),1,1.0,0.0,10.0,10.0,0.0,0.0,-3.63491078958705,6
2279,M Hayward (SA),16,17.0,8.0,66.0,7.33,0.0,0.0,-3.64690886557525,6
2280,Bilal Asif (PAK),5,8.0,0.0,73.0,9.12,0.0,0.0,-3.649166993431508,6
2281,Ijaz Ahmed jnr (PAK),2,3.0,0.0,29.0,9.66,0.0,0.0,-3.6579569963651037,6
2282,Anamul Haque (BDESH),4,8.0,0.0,73.0,9.12,0.0,0.0,-3.6591676904492783,6
2283,Tushar Imran (BDESH),5,10.0,0.0,89.0,8.9,0.0,0.0,-3.6595008289560664,6
2284,G Kishenchand (INDIA),5,10.0,0.0,89.0,8.9,0.0,0.0,-3.6595008289560664,6
2285,RN Lewis (WI),5,10.0,0.0,89.0,8.9,0.0,0.0,-3.6595008289560664,6
2286,H Philipson (ENG),5,8.0,1.0,63.0,9.0,0.0,0.0,-3.66100984783348,6
2287,HHH Johnson (WI),3,4.0,0.0,38.0,9.5,0.0,0.0,-3.662747568791409,6
2288,F Barratt (ENG),5,4.0,1.0,28.0,9.33,0.0,0.0,-3.6648556737813793,6
2289,TL Tsolekile (SA),3,5.0,0.0,47.0,9.4,0.0,0.0,-3.6652188646872372,6
2290,MV Narasimha Rao (INDIA),4,6.0,1.0,46.0,9.2,0.0,0.0,-3.6654256601178505,6
2291,DE Bollinger (AUS),12,14.0,7.0,54.0,7.71,0.0,0.0,-3.672656762546991,6
2292,CP McGahey (ENG),2,4.0,0.0,38.0,9.5,0.0,0.0,-3.6727482658091795,6
2293,KHRK Fernando (SL),2,4.0,0.0,38.0,9.5,0.0,0.0,-3.6727482658091795,6
2294,GH Shepstone (SA),2,4.0,0.0,38.0,9.5,0.0,0.0,-3.6727482658091795,6
2295,EH Bromley (AUS),2,4.0,0.0,38.0,9.5,0.0,0.0,-3.6727482658091795,6
2296,SV Nayak (INDIA),2,3.0,1.0,19.0,9.5,0.0,0.0,-3.6780131664659077,6
2297,TW Routledge (SA),4,8.0,0.0,72.0,9.0,0.0,0.0,-3.684449930487518,6
2298,Enamul Haque jnr (BDESH),15,26.0,16.0,59.0,5.9,0.0,0.0,-3.6907392606427543,6
2299,COC Pearse (SA),3,6.0,0.0,55.0,9.16,0.0,0.0,-3.6970790584707207,6
2300,DR Doshi (INDIA),33,38.0,10.0,129.0,4.6,0.0,0.0,-3.7006428187779132,6
2301,CEL Jones (WI),4,7.0,0.0,63.0,9.0,0.0,0.0,-3.70251192383877,6
2302,AR Whittall (ZIM),10,18.0,3.0,114.0,7.6,0.0,0.0,-3.7044618591953062,6
2303,S Haigh (ENG),11,18.0,3.0,113.0,7.53,0.0,0.0,-3.7094767575922347,6
2304,RK Kleinveldt (SA),4,5.0,2.0,27.0,9.0,0.0,0.0,-3.7117571392687383,6
2305,AJ Bell (SA),16,23.0,12.0,69.0,6.27,0.0,0.0,-3.7120666230678694,6
2306,R Vijay Bharadwaj (INDIA),3,3.0,0.0,28.0,9.33,0.0,0.0,-3.71635844680444,6
2307,FW Smith (SA),3,6.0,1.0,45.0,9.0,0.0,0.0,-3.7171352285715247,6
2308,OP Stone (ENG),1,2.0,0.0,19.0,9.5,0.0,0.0,-3.7195152424711977,6
2309,LP Jai (INDIA),1,2.0,0.0,19.0,9.5,0.0,0.0,-3.7195152424711977,6
2310,A Coxon (ENG),1,2.0,0.0,19.0,9.5,0.0,0.0,-3.7195152424711977,6
2311,HW Lee (ENG),1,2.0,0.0,19.0,9.5,0.0,0.0,-3.7195152424711977,6
2312,HV Baumgartner (SA),1,2.0,0.0,19.0,9.5,0.0,0.0,-3.7195152424711977,6
2313,JSE Price (ENG),15,15.0,6.0,66.0,7.33,0.0,0.0,-3.7199123205680595,6
2314,MM Patel (INDIA),13,14.0,6.0,60.0,7.5,0.0,0.0,-3.7211422374095866,6
2315,RP Singh (INDIA),14,19.0,3.0,116.0,7.25,0.0,0.0,-3.722759640729956,6
2316,RK Chauhan (INDIA),21,17.0,3.0,98.0,7.0,0.0,0.0,-3.7402119714257647,6
2317,BA Reid (AUS),27,34.0,14.0,93.0,4.65,0.0,0.0,-3.7457482412181657,6
2318,WL Cornford (ENG),4,4.0,0.0,36.0,9.0,0.0,0.0,-3.7566979038925252,6
2319,J Humphries (ENG),3,6.0,1.0,44.0,8.8,0.0,0.0,-3.758844100007428,6
2320,TW Wall (AUS),18,24.0,5.0,121.0,6.36,0.0,0.0,-3.7624448336474487,6
2321,Mohammad Sharif (BDESH),10,20.0,3.0,122.0,7.17,0.0,0.0,-3.7630539456726817,6
2322,EA van der Merwe (SA),2,4.0,1.0,27.0,9.0,0.0,0.0,-3.763259912291799,6
2323,H Donnan (AUS),5,10.0,1.0,75.0,8.33,0.0,0.0,-3.7663126567368725,6
2324,CB Mpofu (ZIM),15,28.0,10.0,105.0,5.83,0.0,0.0,-3.766324506716145,6
2325,SI Mahmood (ENG),8,11.0,1.0,81.0,8.1,0.0,0.0,-3.767402016425823,6
2326,KN Amalean (SL),2,3.0,2.0,9.0,9.0,0.0,0.0,-3.7678825200067836,6
2327,JC Archer (ENG),7,12.0,0.0,97.0,8.08,0.0,0.0,-3.7781713494615126,6
2328,JE McConnon (ENG),2,3.0,1.0,18.0,9.0,0.0,0.0,-3.781321905643051,6
2329,SB O'Connor (NZ),19,27.0,9.0,103.0,5.72,0.0,0.0,-3.781694301687857,6
2330,EE Achong (WI),6,11.0,1.0,81.0,8.1,0.0,0.0,-3.7874034104613648,6
2331,KS Indrajitsinhji (INDIA),4,7.0,1.0,51.0,8.5,0.0,0.0,-3.793665863263132,6
2332,WB Rankin (ENG/IRE),3,6.0,1.0,43.0,8.6,0.0,0.0,-3.8005529714433313,6
2333,Fahim Muntasir (BDESH),3,6.0,0.0,52.0,8.66,0.0,0.0,-3.801672383531351,6
2334,CN Evans (ZIM),3,6.0,0.0,52.0,8.66,0.0,0.0,-3.801672383531351,6
2335,Abdur Rauf (PAK),3,6.0,0.0,52.0,8.66,0.0,0.0,-3.801672383531351,6
2336,Kuldeep Yadav (INDIA),6,6.0,0.0,51.0,8.5,0.0,0.0,-3.80516584821511,6
2337,FW Tate (ENG),1,2.0,1.0,9.0,9.0,0.0,0.0,-3.8093845960120736,6
2338,C Heseltine (ENG),2,2.0,0.0,18.0,9.0,0.0,0.0,-3.8128232846305705,6
2339,JT Ball (ENG),4,8.0,0.0,67.0,8.37,0.0,0.0,-3.817021117452839,6
2340,GC Shillingford (WI),7,8.0,1.0,57.0,8.14,0.0,0.0,-3.821448498973287,6
2341,Iftikhar Anjum (PAK),1,1.0,1.0,9.0,9.0,0.0,0.0,-3.821665952887633,6
2342,TF Johnson (WI),1,1.0,1.0,9.0,9.0,0.0,0.0,-3.821665952887633,6
2343,AI Taylor (SA),1,2.0,0.0,18.0,9.0,0.0,0.0,-3.822823981648341,6
2344,Mujeeb Ur Rahman (AFG),1,2.0,0.0,18.0,9.0,0.0,0.0,-3.822823981648341,6
2345,AR Adams (NZ),1,2.0,0.0,18.0,9.0,0.0,0.0,-3.822823981648341,6
2346,BB Cooper (AUS),1,2.0,0.0,18.0,9.0,0.0,0.0,-3.822823981648341,6
2347,AJ Evans (ENG),1,2.0,0.0,18.0,9.0,0.0,0.0,-3.822823981648341,6
2348,NJ O'Brien (IRE),1,2.0,0.0,18.0,9.0,0.0,0.0,-3.822823981648341,6
2349,Maninder Singh (INDIA),35,38.0,12.0,99.0,3.8,0.0,0.0,-3.825736482747398,6
2350,EA Moseley (WI),2,4.0,0.0,35.0,8.75,0.0,0.0,-3.8286748139875098,6
2351,Mohammad Talha (PAK),4,5.0,1.0,34.0,8.5,0.0,0.0,-3.829147557023892,6
2352,ERH Fuller (SA),7,9.0,1.0,64.0,8.0,0.0,0.0,-3.833417696451434,6
2353,Haseeb Ahsan (PAK),12,16.0,7.0,61.0,6.77,0.0,0.0,-3.836610917126218,6
2354,DS Tomlinson (SA),1,1.0,0.0,9.0,9.0,0.0,0.0,-3.840885974999593,6
2355,A Hearne (ENG),1,1.0,0.0,9.0,9.0,0.0,0.0,-3.840885974999593,6
2356,Riaz Afridi (PAK),1,1.0,0.0,9.0,9.0,0.0,0.0,-3.840885974999593,6
2357,TS Chisoro (ZIM),1,1.0,0.0,9.0,9.0,0.0,0.0,-3.840885974999593,6
2358,GRA de Silva (SL),4,7.0,2.0,41.0,8.2,0.0,0.0,-3.842468638309848,6
2359,R Pilling (ENG),8,13.0,1.0,91.0,7.58,0.0,0.0,-3.843189477342084,6
2360,A Nehra (INDIA),17,25.0,11.0,77.0,5.5,0.0,0.0,-3.8496912180795064,6
2361,J Middleton (SA),6,12.0,5.0,52.0,7.42,0.0,0.0,-3.856494827328673,6
2362,AH Gray (WI),5,8.0,2.0,48.0,8.0,0.0,0.0,-3.8567571123184727,6
2363,Vizianagram (INDIA),3,6.0,2.0,33.0,8.25,0.0,0.0,-3.8596223911135867,6
2364,SP Narine (WI),6,7.0,2.0,40.0,8.0,0.0,0.0,-3.86417611571021,6
2365,A Habib (ENG),2,3.0,0.0,26.0,8.66,0.0,0.0,-3.8652167676611335,6
2366,AGD Wickremasinghe (SL),3,3.0,1.0,17.0,8.5,0.0,0.0,-3.874629947802423,6
2367,CA Merry (WI),2,4.0,0.0,34.0,8.5,0.0,0.0,-3.880650330046953,6
2368,PIC Thompson (WI),2,3.0,1.0,17.0,8.5,0.0,0.0,-3.8846306448201937,6
2369,F Ridgway (ENG),5,6.0,0.0,49.0,8.16,0.0,0.0,-3.8862643145564397,6
2370,DV Smith (ENG),3,4.0,1.0,25.0,8.33,0.0,0.0,-3.8921168391129504,6
2371,MR Whitney (AUS),12,19.0,8.0,68.0,6.18,0.0,0.0,-3.8971971803531456,6
2372,DD Blackie (AUS),3,6.0,3.0,24.0,8.0,0.0,0.0,-3.8975162285950193,6
2373,RP de Groen (NZ),5,10.0,4.0,45.0,7.5,0.0,0.0,-3.898347679404064,6
2374,DK Liyanage (SL),9,9.0,0.0,69.0,7.66,0.0,0.0,-3.899238043259206,6
2375,IM Sinclair (NZ),2,4.0,1.0,25.0,8.33,0.0,0.0,-3.902117536130721,6
2376,Lord Hawke (ENG),5,8.0,1.0,55.0,7.85,0.0,0.0,-3.902281017708847,6
2377,ND Hirwani (INDIA),17,22.0,12.0,54.0,5.4,0.0,0.0,-3.9026212935014075,6
2378,AD Mullally (ENG),19,27.0,4.0,127.0,5.52,0.0,0.0,-3.9034459601399694,6
2379,H Howell (ENG),5,8.0,6.0,15.0,7.5,0.0,0.0,-3.903739137183571,6
2380,RK Tyldesley (ENG),7,7.0,1.0,47.0,7.83,0.0,0.0,-3.90380598193223,6
2381,DR Gilbert (AUS),9,12.0,4.0,57.0,7.12,0.0,0.0,-3.9041011614198418,6
2382,A Ward (ENG),5,6.0,1.0,40.0,8.0,0.0,0.0,-3.9056781917155003,6
2383,D Ramnarine (WI),12,21.0,4.0,106.0,6.23,0.0,0.0,-3.9148407786400696,6
2384,SB Smith (AUS),3,5.0,0.0,41.0,8.2,0.0,0.0,-3.9154720933026574,6
2385,R Beaumont (SA),5,9.0,0.0,70.0,7.77,0.0,0.0,-3.9160119202167576,7
2386,CK Langeveldt (SA),6,4.0,2.0,16.0,8.0,0.0,0.0,-3.916435216938735,7
2387,Kabir Khan (PAK),4,5.0,2.0,24.0,8.0,0.0,0.0,-3.919016910564768,7
2388,J Newman (NZ),3,4.0,0.0,33.0,8.25,0.0,0.0,-3.922625149088626,7
2389,D Brookes (ENG),1,2.0,0.0,17.0,8.5,0.0,0.0,-3.9261327208254837,7
2390,Nasir Jamal (AFG),1,2.0,0.0,17.0,8.5,0.0,0.0,-3.9261327208254837,7
2391,N Reid (SA),1,2.0,0.0,17.0,8.5,0.0,0.0,-3.9261327208254837,7
2392,N Ncube (ZIM),1,2.0,0.0,17.0,8.5,0.0,0.0,-3.9261327208254837,7
2393,GA Briant (ZIM),1,2.0,0.0,17.0,8.5,0.0,0.0,-3.9261327208254837,7
2394,RT Barber (NZ),1,2.0,0.0,17.0,8.5,0.0,0.0,-3.9261327208254837,7
2395,Aaqib Javed (PAK),22,27.0,7.0,101.0,5.05,0.0,0.0,-3.9289898786973865,7
2396,RG Draper (SA),2,3.0,0.0,25.0,8.33,0.0,0.0,-3.933618915118241,7
2397,C Newberry (SA),4,8.0,0.0,62.0,7.75,0.0,0.0,-3.947538975493452,7
2398,JA Flavell (ENG),4,6.0,2.0,31.0,7.75,0.0,0.0,-3.953572726214703,7
2399,UG Dowe (WI),4,3.0,2.0,8.0,8.0,0.0,0.0,-3.9538563113837846,7
2400,Nazmul Hossain (BDESH),2,4.0,2.0,16.0,8.0,0.0,0.0,-3.956438005009818,7
2401,BA Williams (AUS),4,6.0,3.0,23.0,7.66,0.0,0.0,-3.9579710079590638,7
2402,Naseem Shah (PAK),3,3.0,2.0,8.0,8.0,0.0,0.0,-3.9638570084015554,7
2403,BD Milburn (NZ),3,3.0,2.0,8.0,8.0,0.0,0.0,-3.9638570084015554,7
2404,NA Knox (ENG),2,4.0,1.0,24.0,8.0,0.0,0.0,-3.970519683587829,7
2405,AG Huckle (ZIM),8,14.0,3.0,74.0,6.72,0.0,0.0,-3.9799733437771323,7
2406,KJ Abbott (SA),11,14.0,0.0,95.0,6.78,0.0,0.0,-3.981823193734836,7
2407,MEZ Ghazali (PAK),2,4.0,0.0,32.0,8.0,0.0,0.0,-3.98460136216584,7
2408,James Lillywhite jnr (ENG),2,3.0,1.0,16.0,8.0,0.0,0.0,-3.987939383997337,7
2409,PJ Loader (ENG),13,19.0,6.0,76.0,5.84,0.0,0.0,-3.990311367465418,7
2410,K Shuttleworth (ENG),5,6.0,0.0,46.0,7.66,0.0,0.0,-3.99085763961707,7
2411,Muhammad Musa (PAK),1,2.0,2.0,16.0,8.0,0.0,0.0,-3.9910014157787073,7
2412,Talha Jubair (BDESH),7,14.0,6.0,52.0,6.5,0.0,0.0,-3.991617655520958,7
2413,AG Hurst (AUS),12,20.0,3.0,102.0,6.0,0.0,0.0,-3.996137894662847,7
2414,JA Dunning (NZ),4,6.0,1.0,38.0,7.6,0.0,0.0,-3.9990966316050773,7
2415,Elias Sunny (BDESH),4,6.0,1.0,38.0,7.6,0.0,0.0,-3.9990966316050773,7
2416,AL Padmore (WI),2,2.0,1.0,8.0,8.0,0.0,0.0,-4.005359084406845,7
2417,CEW Silverwood (ENG),6,7.0,3.0,29.0,7.25,0.0,0.0,-4.006020985310529,7
2418,J Nyumbu (ZIM),3,6.0,1.0,38.0,7.6,0.0,0.0,-4.009097328622848,7
2419,SD Anurasiri (SL),18,22.0,5.0,91.0,5.35,0.0,0.0,-4.013662557046382,7
2420,M Henderson (NZ),1,2.0,1.0,8.0,8.0,0.0,0.0,-4.015359781424616,7
2421,KV Sharma (INDIA),1,2.0,1.0,8.0,8.0,0.0,0.0,-4.015359781424616,7
2422,ACI Lock (ZIM),1,2.0,1.0,8.0,8.0,0.0,0.0,-4.015359781424616,7
2423,FJ Durston (ENG),1,2.0,1.0,8.0,8.0,0.0,0.0,-4.015359781424616,7
2424,TL Chatara (ZIM),9,16.0,2.0,90.0,6.42,0.0,0.0,-4.015953135793544,7
2425,TC O'Brien (ENG),5,8.0,0.0,59.0,7.37,0.0,0.0,-4.017491656439815,7
2426,M Nissar (INDIA),6,11.0,3.0,55.0,6.87,0.0,0.0,-4.0182224404618605,7
2427,MWW Selvey (ENG),3,5.0,3.0,15.0,7.5,0.0,0.0,-4.01824466818167,7
2428,DV Brennan (ENG),2,2.0,0.0,16.0,8.0,0.0,0.0,-4.019440762984856,7
2429,PM Such (ENG),11,16.0,5.0,67.0,6.09,0.0,0.0,-4.02082426759759,7
2430,WW Daniel (WI),10,11.0,4.0,46.0,6.57,0.0,0.0,-4.026380134495749,7
2431,Agha Saadat Ali (PAK),1,1.0,1.0,8.0,8.0,0.0,0.0,-4.027641138300176,7
2432,Mufasir-ul-Haq (PAK),1,1.0,1.0,8.0,8.0,0.0,0.0,-4.027641138300176,7
2433,GH Pope (ENG),1,1.0,1.0,8.0,8.0,0.0,0.0,-4.027641138300176,7
2434,PA Emery (AUS),1,1.0,1.0,8.0,8.0,0.0,0.0,-4.027641138300176,7
2435,NA Quinn (SA),12,18.0,3.0,90.0,6.0,0.0,0.0,-4.028408123714889,7
2436,AY Patel (NZ),7,9.0,2.0,49.0,7.0,0.0,0.0,-4.029164960936427,7
2437,AW Powell (SA),1,2.0,0.0,16.0,8.0,0.0,0.0,-4.029441460002627,7
2438,R Nanan (WI),1,2.0,0.0,16.0,8.0,0.0,0.0,-4.029441460002627,7
2439,RP Burl (ZIM),1,2.0,0.0,16.0,8.0,0.0,0.0,-4.029441460002627,7
2440,Anwar Hossain Monir (BDESH),3,6.0,3.0,22.0,7.33,0.0,0.0,-4.036373852433941,7
2441,RB Kerr (AUS),2,4.0,0.0,31.0,7.75,0.0,0.0,-4.036576878225283,7
2442,DJ White (NZ),2,4.0,0.0,31.0,7.75,0.0,0.0,-4.036576878225283,7
2443,MJ Hilton (ENG),4,6.0,1.0,37.0,7.4,0.0,0.0,-4.04080550304098,7
2444,ES Newson (SA),3,5.0,1.0,30.0,7.5,0.0,0.0,-4.047050318279436,7
2445,L Embuldeniya (SL),5,7.0,0.0,51.0,7.28,0.0,0.0,-4.0533913171716955,7
2446,EL McCormick (AUS),12,14.0,5.0,54.0,6.0,0.0,0.0,-4.062216052895977,7
2447,A Kuruvilla (INDIA),10,11.0,1.0,66.0,6.6,0.0,0.0,-4.065034355222633,7
2448,Liaqat Ali (PAK),5,7.0,3.0,28.0,7.0,0.0,0.0,-4.067997198387743,7
2449,E Jones (AUS),19,26.0,1.0,126.0,5.04,0.0,0.0,-4.072589464679136,7
2450,RNS Hobbs (ENG),7,8.0,3.0,34.0,6.8,0.0,0.0,-4.07292726832034,7
2451,GN Francis (WI),10,18.0,4.0,81.0,5.78,0.0,0.0,-4.080143368457739,7
2452,VB Ranjane (INDIA),7,9.0,3.0,40.0,6.66,0.0,0.0,-4.08553875874023,7
2453,WK Hegg (ENG),2,4.0,0.0,30.0,7.5,0.0,0.0,-4.088552394284727,7
2454,MDUS Jayasundera (SL),2,4.0,0.0,30.0,7.5,0.0,0.0,-4.088552394284727,7
2455,S Nazir Ali (INDIA),2,4.0,0.0,30.0,7.5,0.0,0.0,-4.088552394284727,7
2456,D Pretorius (SA),4,4.0,1.0,22.0,7.33,0.0,0.0,-4.089375913391209,7
2457,HR Butt (ENG),3,4.0,1.0,22.0,7.33,0.0,0.0,-4.09937661040898,7
2458,G Noblet (AUS),3,4.0,1.0,22.0,7.33,0.0,0.0,-4.09937661040898,7
2459,WM Clark (AUS),10,19.0,2.0,98.0,5.76,0.0,0.0,-4.099489733645874,7
2460,MC Ilott (ENG),5,6.0,2.0,28.0,7.0,0.0,0.0,-4.099498577375262,7
2461,Taskin Ahmed (BDESH),5,10.0,0.0,68.0,6.8,0.0,0.0,-4.10418805492136,7
2462,JC Hill (AUS),3,6.0,3.0,21.0,7.0,0.0,0.0,-4.104775999891049,7
2463,PE McIntyre (AUS),2,4.0,1.0,22.0,7.33,0.0,0.0,-4.109377307426751,7
2464,HC Griffith (WI),13,23.0,5.0,91.0,5.05,0.0,0.0,-4.112984553000916,7
2465,Aamer Nazir (PAK),6,11.0,6.0,31.0,6.2,0.0,0.0,-4.1135504426832625,7
2466,JA Hayes (NZ),15,22.0,7.0,73.0,4.86,0.0,0.0,-4.117398994137852,7
2467,GF Cresswell (NZ),3,5.0,3.0,14.0,7.0,0.0,0.0,-4.121553407358814,7
2468,Manjural Islam (BDESH),17,33.0,11.0,81.0,3.68,0.0,0.0,-4.12257705560491,7
2469,HT Davis (NZ),5,7.0,4.0,20.0,6.66,0.0,0.0,-4.123728703249803,7
2470,W Brearley (ENG),4,5.0,2.0,21.0,7.0,0.0,0.0,-4.126276681860798,7
2471,Sohrawordi Shuvo (BDESH),1,2.0,0.0,15.0,7.5,0.0,0.0,-4.13275019917977,7
2472,Agha Zahid (PAK),1,2.0,0.0,15.0,7.5,0.0,0.0,-4.13275019917977,7
2473,PA Hibbert (AUS),1,2.0,0.0,15.0,7.5,0.0,0.0,-4.13275019917977,7
2474,C Munro (NZ),1,2.0,0.0,15.0,7.5,0.0,0.0,-4.13275019917977,7
2475,MR Rege (INDIA),1,2.0,0.0,15.0,7.5,0.0,0.0,-4.13275019917977,7
2476,AW Palm (SA),1,2.0,0.0,15.0,7.5,0.0,0.0,-4.13275019917977,7
2477,AL Apte (INDIA),1,2.0,0.0,15.0,7.5,0.0,0.0,-4.13275019917977,7
2478,JD Lindsay (SA),3,5.0,2.0,21.0,7.0,0.0,0.0,-4.136277378878568,7
2479,RD Jackman (ENG),4,6.0,0.0,42.0,7.0,0.0,0.0,-4.138947217432542,7
2480,Anwar Hussain (PAK),4,6.0,0.0,42.0,7.0,0.0,0.0,-4.138947217432542,7
2481,PC Charlton (AUS),2,4.0,0.0,29.0,7.25,0.0,0.0,-4.1405279103441694,7
2482,RJ Kennedy (NZ),4,5.0,1.0,28.0,7.0,0.0,0.0,-4.141000653380552,7
2483,WE Hollies (ENG),13,15.0,8.0,37.0,5.28,0.0,0.0,-4.141032595255383,7
2484,JN Maguire (AUS),3,5.0,1.0,28.0,7.0,0.0,0.0,-4.151001350398323,7
2485,W Bell (NZ),2,3.0,3.0,21.0,7.0,0.0,0.0,-4.151620767535499,7
2486,R Tattersall (ENG),16,17.0,7.0,50.0,5.0,0.0,0.0,-4.154831214212069,7
2487,AG Barrett (WI),6,7.0,1.0,40.0,6.66,0.0,0.0,-4.15854221373304,7
2488,W Watson (NZ),15,18.0,6.0,60.0,5.0,0.0,0.0,-4.1653476470488044,7
2489,NV Radford (ENG),3,4.0,1.0,21.0,7.0,0.0,0.0,-4.167778757866087,7
2490,TWJ Goddard (ENG),8,5.0,3.0,13.0,6.5,0.0,0.0,-4.174858661447103,7
2491,Kamrul Islam Rabbi (BDESH),7,14.0,5.0,51.0,5.66,0.0,0.0,-4.183959600250133,7
2492,Saleem Jaffar (PAK),14,14.0,6.0,42.0,5.25,0.0,0.0,-4.184701821402498,7
2493,IJ Jones (ENG),15,17.0,9.0,38.0,4.75,0.0,0.0,-4.185432605424543,7
2494,MD Wettimuny (SL),2,4.0,0.0,28.0,7.0,0.0,0.0,-4.192503426403613,7
2495,RJ Nicol (NZ),2,4.0,0.0,28.0,7.0,0.0,0.0,-4.192503426403613,7
2496,CAR Duckworth (SA),2,4.0,0.0,28.0,7.0,0.0,0.0,-4.192503426403613,7
2497,RMH Cottam (ENG),4,5.0,1.0,27.0,6.75,0.0,0.0,-4.192976169439995,7
2498,Khalid Wazir (PAK),2,3.0,1.0,14.0,7.0,0.0,0.0,-4.1945568623516225,7
2499,CBRLS Kumara (SL),19,27.0,13.0,49.0,3.5,0.0,0.0,-4.195337053379344,7
2500,R Gilchrist (WI),13,14.0,3.0,60.0,5.45,0.0,0.0,-4.199734733310604,7
2501,SW Tait (AUS),3,5.0,2.0,20.0,6.66,0.0,0.0,-4.206732855260383,7
