,Player,Mat,Inn,NO,Runs,Avg,100,50,Point,catagory
162,AW Greig (ENG),58,93.0,4.0,3599.0,40.43,8.0,20.0,9.591926073254022,2
163,MA Agarwal (INDIA),9,13.0,0.0,872.0,67.07,3.0,3.0,9.510188804541828,2
164,M Vijay (INDIA),61,105.0,1.0,3982.0,38.28,12.0,15.0,9.496131485130345,2
165,DJ Mitchell (NZ),1,1.0,0.0,73.0,73.0,0.0,1.0,9.439414347152178,2
166,AL Hassett (AUS),43,69.0,3.0,3073.0,46.56,10.0,11.0,9.402489925370421,2
167,Mushfiqur Rahim (BDESH),69,129.0,9.0,4210.0,35.08,6.0,21.0,9.397262714204128,2
168,CC Hunte (WI),44,78.0,6.0,3245.0,45.06,8.0,13.0,9.344236406614984,2
169,CS Dempster (NZ),10,15.0,4.0,723.0,65.72,2.0,5.0,9.327158935720822,2
170,WJ Cronje (SA),68,111.0,9.0,3714.0,36.41,6.0,23.0,9.316489952805727,2
171,KWR Fletcher (ENG),59,96.0,14.0,3272.0,39.9,7.0,19.0,9.296877154928882,2
172,D Elgar (SA),60,104.0,9.0,3666.0,38.58,12.0,13.0,9.29046799478486,2
173,E Paynter (ENG),20,31.0,5.0,1540.0,59.23,4.0,7.0,9.265505863547489,2
174,IA Healy (AUS),119,182.0,23.0,4356.0,27.39,4.0,22.0,9.195244618447006,2
175,SJ McCabe (AUS),39,62.0,5.0,2748.0,48.21,6.0,13.0,9.171391755880748,2
176,SG Barnes (AUS),13,19.0,2.0,1072.0,63.05,3.0,5.0,9.161117050204393,2
177,RJ Shastri (INDIA),80,121.0,14.0,3830.0,35.79,11.0,12.0,9.112584702907494,2
178,JM Bairstow (ENG),70,123.0,7.0,4030.0,34.74,6.0,21.0,9.109709312790706,2
179,MN Samuels (WI),71,127.0,7.0,3917.0,32.64,7.0,24.0,9.07607185433262,2
180,BF Butcher (WI),44,78.0,6.0,3104.0,43.11,7.0,16.0,9.029590102377766,2
181,NS Sidhu (INDIA),51,78.0,2.0,3202.0,42.13,9.0,15.0,9.021243363735683,2
182,NCL O'Neill (AUS),42,69.0,8.0,2779.0,45.55,6.0,15.0,9.01452591011868,2
183,GM Turner (NZ),41,73.0,6.0,2991.0,44.64,7.0,14.0,8.983984538511855,2
184,BA Stokes (ENG),60,110.0,4.0,3787.0,35.72,8.0,20.0,8.974343683684408,2
185,A Flintoff (ENG/ICC),79,130.0,9.0,3845.0,31.77,5.0,26.0,8.967555295807427,2
186,Asif Iqbal (PAK),58,99.0,7.0,3575.0,38.85,11.0,12.0,8.95237331328654,2
187,SM Pollock (SA),108,156.0,39.0,3781.0,32.31,2.0,16.0,8.892332228476889,2
188,M Leyland (ENG),41,65.0,5.0,2764.0,46.06,9.0,10.0,8.855430500692883,2
189,C Hill (AUS),49,89.0,2.0,3412.0,39.21,7.0,19.0,8.828501737317993,2
190,MH Richardson (NZ),38,65.0,3.0,2776.0,44.77,4.0,19.0,8.824066419268382,2
191,TA Blundell (NZ),3,5.0,1.0,272.0,68.0,2.0,0.0,8.76572302086677,2
192,JC Adams (WI),54,90.0,17.0,3012.0,41.26,6.0,14.0,8.736310658703797,2
193,DM Bravo (WI),54,98.0,5.0,3506.0,37.69,8.0,17.0,8.716539355473406,2
194,HA Gomes (WI),60,91.0,11.0,3171.0,39.63,9.0,13.0,8.714867251416385,2
195,SR Watson (AUS),59,109.0,3.0,3731.0,35.19,4.0,24.0,8.710203687406306,2
196,H Wood (ENG),4,4.0,1.0,204.0,68.0,1.0,1.0,8.700305670339008,2
197,Mohammad Hafeez (PAK),55,105.0,8.0,3652.0,37.64,10.0,12.0,8.698933915842673,2
198,Shoaib Mohammad (PAK),45,68.0,7.0,2705.0,44.34,7.0,13.0,8.638616459488142,2
199,FE Woolley (ENG),64,98.0,7.0,3283.0,36.07,5.0,23.0,8.614398813416432,2
200,CD McMillan (NZ),55,91.0,10.0,3116.0,38.46,6.0,19.0,8.605361203581753,2
201,AH Jones (NZ),39,74.0,8.0,2922.0,44.27,7.0,11.0,8.600747795134142,2
202,VL Manjrekar (INDIA),55,92.0,10.0,3208.0,39.12,7.0,15.0,8.538048623512712,2
203,Ijaz Ahmed (PAK),60,92.0,4.0,3315.0,37.67,12.0,12.0,8.53680539126887,2
204,EJ Barlow (SA),30,57.0,2.0,2516.0,45.74,6.0,15.0,8.501911336617846,2
205,HW Taylor (SA),42,76.0,4.0,2936.0,40.77,7.0,17.0,8.456090223521644,2
206,BH Valentine (ENG),7,9.0,2.0,454.0,64.85,2.0,1.0,8.442058418415415,2
207,WM Woodfull (AUS),35,54.0,4.0,2300.0,46.0,7.0,13.0,8.389734386812096,2
208,SM Nurse (WI),29,54.0,1.0,2523.0,47.6,6.0,10.0,8.332819498704083,2
209,UT Khawaja (AUS),44,77.0,6.0,2887.0,40.66,8.0,14.0,8.296437905472752,2
210,VT Trumper (AUS),48,89.0,8.0,3163.0,39.04,8.0,13.0,8.269002130643957,2
211,VS Hazare (INDIA),30,52.0,6.0,2192.0,47.65,7.0,9.0,8.231486044068356,2
212,JR Reid (NZ),58,108.0,5.0,3428.0,33.28,6.0,22.0,8.178482633032186,2
213,KS Duleepsinhji (ENG),12,19.0,2.0,995.0,58.52,3.0,5.0,8.171501793779647,2
214,CC McDonald (AUS),47,83.0,4.0,3107.0,39.32,5.0,17.0,8.169464152933985,2
215,Saeed Ahmed (PAK),41,78.0,4.0,2991.0,40.41,5.0,16.0,8.099471602251429,2
216,ND McKenzie (SA),58,94.0,7.0,3253.0,37.39,5.0,16.0,8.071820643373371,2
217,KC Brathwaite (WI),59,112.0,7.0,3496.0,33.29,8.0,17.0,8.067034224755062,2
218,M Labuschagne (AUS),13,21.0,0.0,1185.0,56.42,3.0,7.0,8.05423865656532,2
219,CL Cairns (NZ),62,104.0,5.0,3320.0,33.53,5.0,22.0,8.033976352629962,2
220,RG Sharma (INDIA),32,53.0,7.0,2141.0,46.54,6.0,10.0,8.002851595788497,2
221,Taslim Arif (PAK),6,10.0,2.0,501.0,62.62,1.0,2.0,7.997173725693861,2
222,KC Wessels (AUS/SA),40,71.0,3.0,2788.0,41.0,6.0,15.0,7.994503095008017,2
