,Player,Mat,Inn,NO,Runs,Avg,100,50
1044,P Holmes (ENG),7,14.0,1.0,357.0,27.46,0.0,4.0
1045,SJ Pegler (SA),16,28.0,5.0,356.0,15.47,0.0,0.0
1046,AJ Bichel (AUS),19,22.0,1.0,355.0,16.9,0.0,1.0
1047,JMM Commaille (SA),12,22.0,1.0,355.0,16.9,0.0,0.0
1048,BW Hilfenhaus (AUS),27,38.0,12.0,355.0,13.65,0.0,1.0
1049,PNF Mansell (SA),13,22.0,2.0,355.0,17.75,0.0,2.0
1050,MS Nichols (ENG),14,19.0,7.0,355.0,29.58,0.0,2.0
1051,MB Poore (NZ),14,24.0,1.0,355.0,15.43,0.0,0.0
1052,WA Shalders (SA),12,23.0,1.0,355.0,16.13,0.0,0.0
1053,RT Spooner (ENG),7,14.0,1.0,354.0,27.23,0.0,3.0
1054,MN Hart (NZ),14,24.0,4.0,353.0,17.65,0.0,0.0
1055,BL Irvine (SA),4,7.0,0.0,353.0,50.42,1.0,2.0
1056,SAR Silva (SL),9,16.0,2.0,353.0,25.21,2.0,0.0
1057,HB Taber (AUS),16,27.0,5.0,353.0,16.04,0.0,0.0
1058,SB Joshi (INDIA),15,19.0,2.0,352.0,20.7,0.0,1.0
1059,JG Leggat (NZ),9,18.0,2.0,351.0,21.93,0.0,2.0
1060,S Matsikenyeri (ZIM),8,16.0,1.0,351.0,23.4,0.0,2.0
1061,DK Gaekwad (INDIA),11,20.0,1.0,350.0,18.42,0.0,1.0
1062,P Lever (ENG),17,18.0,2.0,350.0,21.87,0.0,2.0
1063,CK Nayudu (INDIA),7,14.0,0.0,350.0,25.0,0.0,2.0
1064,SCG MacGill (AUS),44,47.0,11.0,349.0,9.69,0.0,0.0
1065,CR Matthews (SA),18,25.0,6.0,348.0,18.31,0.0,1.0
1066,EP Nupen (SA),17,31.0,7.0,348.0,14.5,0.0,2.0
1067,Jahurul Islam (BDESH),7,14.0,1.0,347.0,26.69,0.0,0.0
1068,LSM Miller (NZ),13,25.0,0.0,346.0,13.84,0.0,0.0
1069,MA Carberry (ENG),6,12.0,0.0,345.0,28.75,0.0,1.0
1070,EW Freeman (AUS),11,18.0,0.0,345.0,19.16,0.0,2.0
1071,Rizwan-uz-Zaman (PAK),11,19.0,1.0,345.0,19.16,0.0,3.0
1072,Sanwar Hossain (BDESH),9,18.0,0.0,345.0,19.16,0.0,0.0
1073,Lord Tennyson (ENG),9,12.0,1.0,345.0,31.36,0.0,4.0
1074,D Dasgupta (INDIA),8,13.0,1.0,344.0,28.66,1.0,2.0
1075,FA Rose (WI),19,28.0,2.0,344.0,13.23,0.0,1.0
1076,LA Stricker (SA),13,24.0,0.0,344.0,14.33,0.0,0.0
1077,TM Dowlin (WI),6,11.0,0.0,343.0,31.18,0.0,3.0
1078,FLH Mooney (NZ),14,22.0,2.0,343.0,17.15,0.0,0.0
1079,CA Best (WI),8,13.0,1.0,342.0,28.5,1.0,1.0
1080,DJ Brown (ENG),26,34.0,5.0,342.0,11.79,0.0,0.0
1081,KL Hutchings (ENG),7,12.0,0.0,341.0,28.41,1.0,1.0
1082,CFK van Wyk (NZ),9,17.0,1.0,341.0,21.31,0.0,1.0
1083,AEE Vogler (SA),15,26.0,6.0,340.0,17.0,0.0,2.0
1084,TW Garrett (AUS),19,33.0,6.0,339.0,12.55,0.0,1.0
1085,GJ Maxwell (AUS),7,14.0,1.0,339.0,26.07,1.0,0.0
1086,UT Yadav (INDIA),45,50.0,22.0,339.0,12.1,0.0,0.0
1087,A Nel (SA),36,42.0,8.0,337.0,9.91,0.0,0.0
1088,Mahmood Hussain (PAK),27,39.0,6.0,336.0,10.18,0.0,0.0
1089,Raqibul Hasan (BDESH),9,18.0,1.0,336.0,19.76,0.0,1.0
1090,SD Robson (ENG),7,11.0,0.0,336.0,30.54,1.0,1.0
1091,HSTL Hendry (AUS),11,18.0,2.0,335.0,20.93,1.0,0.0
1092,R Rampaul (WI),18,31.0,8.0,335.0,14.56,0.0,0.0
1093,MH Dekker (ZIM),14,22.0,1.0,333.0,15.85,0.0,2.0
1094,BT Foakes (ENG),5,10.0,2.0,332.0,41.5,1.0,1.0
1095,RC Blunt (NZ),9,13.0,1.0,330.0,27.5,0.0,1.0
1096,FR Foster (ENG),11,15.0,1.0,330.0,23.57,0.0,3.0
1097,VL Mehra (INDIA),8,14.0,1.0,329.0,25.3,0.0,2.0
1098,Wajahatullah Wasti (PAK),6,10.0,1.0,329.0,36.55,2.0,0.0
1099,AM Moir (NZ),17,30.0,8.0,327.0,14.86,0.0,0.0
1100,MC Snedden (NZ),25,30.0,8.0,327.0,14.86,0.0,0.0
1101,HF Wade (SA),10,18.0,2.0,327.0,20.43,0.0,0.0
1102,ALF de Mel (SL),17,28.0,5.0,326.0,14.17,0.0,0.0
1103,GM Fullerton (SA),7,13.0,0.0,325.0,25.0,0.0,3.0
1104,CMH Hathorn (SA),12,20.0,1.0,325.0,17.1,1.0,0.0
1105,AJ Redmond (NZ),8,16.0,1.0,325.0,21.66,0.0,2.0
1106,Sohag Gazi (BDESH),10,16.0,1.0,325.0,21.66,1.0,0.0
1107,G Thomas (AUS),8,12.0,1.0,325.0,29.54,0.0,3.0
1108,CTB Turner (AUS),17,32.0,4.0,323.0,11.53,0.0,0.0
1109,Abid Ali (PAK),2,3.0,1.0,321.0,160.5,2.0,0.0
1110,TS Worthington (ENG),9,11.0,0.0,321.0,29.18,1.0,1.0
1111,DSBP Kuruppu (SL),4,7.0,1.0,320.0,53.33,1.0,0.0
1112,A Mukund (INDIA),7,14.0,0.0,320.0,22.85,0.0,2.0
1113,DR Smith (WI),10,14.0,1.0,320.0,24.61,1.0,0.0
1114,JF Crapp (ENG),7,13.0,2.0,319.0,29.0,0.0,3.0
1115,L Ronchi (NZ),4,8.0,0.0,319.0,39.87,0.0,2.0
1116,OAC Banks (WI),10,16.0,4.0,318.0,26.5,0.0,1.0
1117,HJ Keith (SA),8,16.0,1.0,318.0,21.2,0.0,2.0
1118,Tauseef Ahmed (PAK),34,38.0,20.0,318.0,17.66,0.0,0.0
1119,RJ Sidebottom (ENG),22,31.0,11.0,313.0,15.65,0.0,0.0
1120,JWA Taylor (ENG),7,13.0,1.0,312.0,26.0,0.0,2.0
1121,J Hardstaff snr (ENG),5,10.0,0.0,311.0,31.1,0.0,3.0
1122,BN French (ENG),16,21.0,4.0,308.0,18.11,0.0,1.0
1123,W Voce (ENG),27,38.0,15.0,308.0,13.39,0.0,1.0
1124,JK Lever (ENG),21,31.0,5.0,306.0,11.76,0.0,1.0
1125,Q McMillan (SA),13,21.0,4.0,306.0,18.0,0.0,1.0
1126,Wahab Riaz (PAK),27,41.0,5.0,306.0,8.5,0.0,0.0
1127,DW Fleming (AUS),20,19.0,3.0,305.0,19.06,0.0,2.0
1128,Shamsur Rahman (BDESH),6,12.0,0.0,305.0,25.41,1.0,0.0
1129,BR Hartland (NZ),9,18.0,0.0,303.0,16.83,0.0,1.0
1130,AH Jarvis (AUS),11,21.0,3.0,303.0,16.83,0.0,1.0
1131,DJ Murray (NZ),8,16.0,1.0,303.0,20.2,0.0,1.0
1132,KJ Arnott (ZIM),4,8.0,1.0,302.0,43.14,1.0,1.0
1133,H Graham (AUS),6,10.0,0.0,301.0,30.1,2.0,0.0
1134,PAM Hands (SA),7,12.0,0.0,300.0,25.0,0.0,2.0
1135,Tahir Naqqash (PAK),15,19.0,5.0,300.0,21.42,0.0,1.0
1136,G Brown (ENG),7,12.0,2.0,299.0,29.9,0.0,2.0
1137,MD Gunathilaka (SL),8,16.0,0.0,299.0,18.68,0.0,2.0
1138,GB Legge (ENG),5,7.0,1.0,299.0,49.83,1.0,0.0
1139,JD Campbell (WI),6,12.0,2.0,298.0,29.8,0.0,1.0
1140,ACB Langton (SA),15,23.0,4.0,298.0,15.68,0.0,2.0
1141,A Mitchell (ENG),6,10.0,0.0,298.0,29.8,0.0,2.0
1142,Rahmat Shah (AFG),4,8.0,0.0,298.0,37.25,1.0,2.0
1143,TAM Siriwardana (SL),5,9.0,0.0,298.0,33.11,0.0,2.0
1144,S O'Linn (SA),7,12.0,1.0,297.0,27.0,0.0,2.0
1145,N Phillip (WI),9,15.0,5.0,297.0,29.7,0.0,0.0
1146,MA Wood (ENG),13,23.0,5.0,297.0,16.5,0.0,1.0
1147,GE Palmer (AUS),17,25.0,4.0,296.0,14.09,0.0,0.0
1148,RS Cunis (NZ),20,31.0,8.0,295.0,12.82,0.0,1.0
1149,RS Kalpage (SL),11,18.0,2.0,294.0,18.37,0.0,2.0
1150,SJ Rhodes (ENG),11,17.0,5.0,294.0,24.5,0.0,1.0
1151,OC Dawson (SA),9,15.0,1.0,293.0,20.92,0.0,1.0
1152,DF Whatmore (AUS),7,13.0,0.0,293.0,22.53,0.0,2.0
1153,L Amar Singh (INDIA),7,14.0,1.0,292.0,22.46,0.0,1.0
1154,HJ Howarth (NZ),30,42.0,18.0,291.0,12.12,0.0,1.0
1155,AO Jones (ENG),12,21.0,0.0,291.0,13.85,0.0,0.0
1156,AMB Rowan (SA),15,23.0,6.0,290.0,17.05,0.0,0.0
1157,KD Mills (NZ),19,30.0,5.0,289.0,11.56,0.0,1.0
1158,ARA Murray (SA),10,14.0,1.0,289.0,22.23,1.0,1.0
1159,DVP Wright (ENG),34,39.0,13.0,289.0,11.11,0.0,0.0
1160,Zahid Fazal (PAK),9,16.0,0.0,288.0,18.0,0.0,1.0
1161,DNT Zoysa (SL),30,40.0,6.0,288.0,8.47,0.0,0.0
1162,PT Barton (NZ),7,14.0,0.0,285.0,20.35,1.0,1.0
1163,CJ Richards (ENG),8,13.0,0.0,285.0,21.92,1.0,0.0
1164,CB Lambert (WI),5,9.0,0.0,284.0,31.55,1.0,1.0
1165,FT Mann (ENG),5,9.0,1.0,281.0,35.12,0.0,2.0
1166,S Sreesanth (INDIA),27,40.0,13.0,281.0,10.4,0.0,0.0
1167,JM Wiener (AUS),6,11.0,0.0,281.0,25.54,0.0,2.0
1168,MC Bird (ENG),10,16.0,1.0,280.0,18.66,0.0,2.0
1169,ST Finn (ENG),36,47.0,22.0,279.0,11.16,0.0,1.0
1170,Ijaz Butt (PAK),8,16.0,2.0,279.0,19.92,0.0,1.0
1171,JWH Makepeace (ENG),4,8.0,0.0,279.0,34.87,1.0,2.0
1172,PA Wallace (WI),7,13.0,0.0,279.0,21.46,0.0,2.0
1173,AJ Finch (AUS),5,10.0,0.0,278.0,27.8,0.0,2.0
1174,LMP Simmons (WI),8,16.0,0.0,278.0,17.37,0.0,0.0
1175,GR Stead (NZ),5,8.0,0.0,278.0,34.75,0.0,2.0
1176,BOP Fernando (SL),4,7.0,1.0,277.0,46.16,1.0,1.0
1177,Nazar Mohammad (PAK),5,8.0,1.0,277.0,39.57,1.0,1.0
1178,IM Barrow (WI),11,19.0,2.0,276.0,16.23,1.0,0.0
1179,Saleem Altaf (PAK),21,31.0,12.0,276.0,14.52,0.0,1.0
1180,SL Malinga (SL),30,37.0,13.0,275.0,11.45,0.0,1.0
1181,Shadman Islam (BDESH),6,11.0,0.0,275.0,25.0,0.0,1.0
1182,WA Johnston (AUS),40,49.0,25.0,273.0,11.37,0.0,0.0
1183,GJ Thompson (ENG),6,10.0,1.0,273.0,30.33,0.0,2.0
1184,Abdul Kadir (PAK),4,8.0,0.0,272.0,34.0,0.0,2.0
1185,JC Alabaster (NZ),21,34.0,6.0,272.0,9.71,0.0,0.0
1186,TA Blundell (NZ),3,5.0,1.0,272.0,68.0,2.0,0.0
1187,WE Midwinter (AUS/ENG),12,21.0,1.0,269.0,13.45,0.0,0.0
1188,OA Shah (ENG),6,10.0,0.0,269.0,26.9,0.0,2.0
1189,MJ Susskind (SA),5,8.0,0.0,268.0,33.5,0.0,4.0
1190,Khaled Mahmud (BDESH),12,23.0,1.0,266.0,12.09,0.0,0.0
1191,S Shillingford (WI),16,26.0,6.0,266.0,13.3,0.0,1.0
1192,A Lyth (ENG),7,13.0,0.0,265.0,20.38,1.0,0.0
1193,MJF Shrimpton (NZ),10,19.0,0.0,265.0,13.94,0.0,0.0
1194,GA Bartlett (NZ),10,18.0,1.0,263.0,15.47,0.0,0.0
1195,GC Small (ENG),17,24.0,7.0,263.0,15.47,0.0,1.0
1196,GTS Stevens (ENG),10,17.0,0.0,263.0,15.47,0.0,1.0
1197,V Subramanya (INDIA),9,15.0,1.0,263.0,18.78,0.0,2.0
1198,SM Ervine (ZIM),5,8.0,0.0,261.0,32.62,0.0,3.0
1199,RW Price (ZIM),22,38.0,8.0,261.0,8.7,0.0,0.0
1200,AN Connolly (AUS),29,45.0,20.0,260.0,10.4,0.0,0.0
1201,RG Hart (NZ),11,19.0,3.0,260.0,16.25,0.0,1.0
1202,Akram Khan (BDESH),8,16.0,0.0,259.0,16.18,0.0,0.0
1203,DM Lewis (WI),3,5.0,2.0,259.0,86.33,0.0,3.0
1204,Rubel Hossain (BDESH),26,45.0,19.0,259.0,9.96,0.0,0.0
1205,KJ O'Brien (IRE),3,6.0,1.0,258.0,51.6,1.0,1.0
1206,EC Petrie (NZ),14,25.0,5.0,258.0,12.9,0.0,1.0
1207,Arshad Ayub (INDIA),13,19.0,4.0,257.0,17.13,0.0,1.0
1208,Manjural Islam Rana (BDESH),6,11.0,1.0,257.0,25.7,0.0,1.0
1209,DM Wellham (AUS),6,11.0,0.0,257.0,23.36,1.0,0.0
1210,J Selby (ENG),6,12.0,1.0,256.0,23.27,0.0,2.0
1211,BB Chari (ZIM),7,14.0,0.0,254.0,18.14,0.0,2.0
1212,Dilawar Hussain (INDIA),3,6.0,0.0,254.0,42.33,0.0,3.0
1213,W Flowers (ENG),8,14.0,0.0,254.0,18.14,0.0,1.0
1214,HV Hordern (AUS),7,13.0,2.0,254.0,23.09,0.0,1.0
1215,ADG Roberts (NZ),7,12.0,1.0,254.0,23.09,0.0,1.0
1216,R Swetman (ENG),11,17.0,2.0,254.0,16.93,0.0,1.0
1217,Khalid Ibadulla (PAK),4,8.0,0.0,253.0,31.62,1.0,0.0
1218,EH Bowley (ENG),5,7.0,0.0,252.0,36.0,1.0,0.0
1219,TB Burtt (NZ),10,15.0,3.0,252.0,21.0,0.0,0.0
1220,NF Druce (ENG),5,9.0,0.0,252.0,28.0,0.0,1.0
1221,CM Francois (SA),5,9.0,1.0,252.0,31.5,0.0,1.0
1222,PA McAlister (AUS),8,16.0,1.0,252.0,16.8,0.0,0.0
1223,HGO Owen-Smith (SA),5,8.0,2.0,252.0,42.0,1.0,1.0
1224,Sohail Khan (PAK),9,12.0,2.0,252.0,25.2,0.0,1.0
1225,AJL Hill (ENG),3,4.0,0.0,251.0,62.75,1.0,1.0
1226,Fawad Alam (PAK),3,6.0,0.0,250.0,41.66,1.0,0.0
1227,Asghar Afghan (AFG),4,7.0,0.0,249.0,35.57,0.0,3.0
1228,CRD Fernando (SL),40,47.0,17.0,249.0,8.3,0.0,0.0
1229,G Geary (ENG),14,20.0,4.0,249.0,15.56,0.0,2.0
1230,VJ Marks (ENG),6,10.0,1.0,249.0,27.66,0.0,3.0
1231,HH Massie (AUS),9,16.0,0.0,249.0,15.56,0.0,1.0
1232,Abdur Razzak (BDESH),13,22.0,6.0,248.0,15.5,0.0,0.0
1233,SR Clark (AUS),24,26.0,7.0,248.0,13.05,0.0,0.0
1234,EJ Gray (NZ),10,16.0,0.0,248.0,15.5,0.0,1.0
1235,AW Roberts (NZ),5,10.0,1.0,248.0,27.55,0.0,3.0
1236,MHW Papps (NZ),8,16.0,1.0,246.0,16.4,0.0,2.0
1237,TJ Zoehrer (AUS),10,14.0,2.0,246.0,20.5,0.0,1.0
1238,BA Davis (WI),4,8.0,0.0,245.0,30.62,0.0,3.0
1239,RB Kenny (INDIA),5,10.0,1.0,245.0,27.22,0.0,3.0
1240,FA Lowson (ENG),7,13.0,0.0,245.0,18.84,0.0,2.0
1241,RK Nunes (WI),4,8.0,0.0,245.0,30.62,0.0,2.0
1242,FC Hayes (ENG),9,17.0,1.0,244.0,15.25,1.0,0.0
1243,Shuvagata Hom (BDESH),8,15.0,4.0,244.0,22.18,0.0,1.0
1244,XM Marshall (WI),7,12.0,0.0,243.0,20.25,0.0,2.0
1245,Mehrab Hossain jnr (BDESH),7,13.0,1.0,243.0,20.25,0.0,1.0
1246,JB Mortimore (ENG),9,12.0,2.0,243.0,24.3,0.0,1.0
1247,JW Trumble (AUS),7,13.0,1.0,243.0,20.25,0.0,1.0
1248,Ali Naqvi (PAK),5,9.0,1.0,242.0,30.25,1.0,0.0
1249,SF Barnes (ENG),27,39.0,9.0,242.0,8.06,0.0,0.0
1250,CD Gopinath (INDIA),8,12.0,1.0,242.0,22.0,0.0,1.0
1251,James Langridge (ENG),8,9.0,0.0,242.0,26.88,0.0,1.0
1252,D Williams (WI),11,19.0,1.0,242.0,13.44,0.0,1.0
1253,Mehrab Hossain (BDESH),9,18.0,0.0,241.0,13.38,0.0,1.0
1254,JE Mills (NZ),7,10.0,1.0,241.0,26.77,1.0,0.0
1255,SLV Raju (INDIA),28,34.0,10.0,240.0,10.0,0.0,0.0
1256,Shadab Khan (PAK),5,9.0,2.0,240.0,34.28,0.0,3.0
1257,C Bannerman (AUS),3,6.0,2.0,239.0,59.75,1.0,0.0
1258,Naved-ul-Hasan (PAK),9,15.0,3.0,239.0,19.91,0.0,0.0
1259,JC White (ENG),15,22.0,9.0,239.0,18.38,0.0,0.0
1260,LE Plunkett (ENG),13,20.0,5.0,238.0,15.86,0.0,1.0
1261,AW Carr (ENG),11,13.0,1.0,237.0,19.75,0.0,1.0
1262,PP Shaw (INDIA),2,3.0,1.0,237.0,118.5,1.0,1.0
1263,FB Smith (NZ),4,6.0,1.0,237.0,47.4,0.0,2.0
1264,S Wazir Ali (INDIA),7,14.0,0.0,237.0,16.92,0.0,0.0
1265,G Dymock (AUS),21,32.0,7.0,236.0,9.44,0.0,0.0
1266,CN Frank (SA),3,6.0,0.0,236.0,39.33,1.0,0.0
1267,DE Malcolm (ENG),40,58.0,19.0,236.0,6.05,0.0,0.0
1268,PT Collins (WI),32,47.0,7.0,235.0,5.87,0.0,0.0
1269,Hasan Raza (PAK),7,10.0,1.0,235.0,26.11,0.0,2.0
1270,KA Archer (AUS),5,9.0,0.0,234.0,26.0,0.0,0.0
1271,G Duckworth (ENG),24,28.0,12.0,234.0,14.62,0.0,0.0
1272,EAE Baptiste (WI),10,11.0,1.0,233.0,23.3,0.0,1.0
1273,R Kilner (ENG),9,8.0,1.0,233.0,33.28,0.0,2.0
1274,ML Love (AUS),5,8.0,3.0,233.0,46.6,1.0,1.0
1275,FI de Caires (WI),3,6.0,0.0,232.0,38.66,0.0,2.0
1276,Mushfiqur Rahman (BDESH),10,19.0,2.0,232.0,13.64,0.0,0.0
1277,WH Lockwood (ENG),12,16.0,3.0,231.0,17.76,0.0,1.0
1278,H Strudwick (ENG),28,42.0,13.0,230.0,7.93,0.0,0.0
1279,FH Tyson (ENG),17,24.0,3.0,230.0,10.95,0.0,0.0
1280,Ashraf Ali (PAK),8,8.0,3.0,229.0,45.8,0.0,2.0
1281,HB Cave (NZ),19,31.0,5.0,229.0,8.8,0.0,0.0
1282,JM Ghorpade (INDIA),8,15.0,0.0,229.0,15.26,0.0,0.0
1283,NS Harford (NZ),8,15.0,0.0,229.0,15.26,0.0,2.0
1284,JT Sparling (NZ),11,20.0,2.0,229.0,12.72,0.0,1.0
1285,AJ Tudor (ENG),10,16.0,4.0,229.0,19.08,0.0,1.0
1286,Mohammad Mithun (BDESH),7,13.0,0.0,228.0,17.53,0.0,1.0
1287,WG Quaife (ENG),7,13.0,1.0,228.0,19.0,0.0,1.0
1288,AE Trott (AUS/ENG),5,9.0,3.0,228.0,38.0,0.0,2.0
1289,J Yadav (INDIA),4,6.0,1.0,228.0,45.6,1.0,1.0
1290,DT Tiripano (ZIM),7,14.0,3.0,227.0,20.63,0.0,0.0
1291,JS Foster (ENG),7,12.0,3.0,226.0,25.11,0.0,0.0
1292,AO Malhotra (INDIA),7,10.0,1.0,226.0,25.11,0.0,1.0
1293,MJ Procter (SA),7,10.0,1.0,226.0,25.11,0.0,0.0
1294,TBA May (AUS),24,28.0,12.0,225.0,14.06,0.0,0.0
1295,D Mohammed (WI),5,8.0,1.0,225.0,32.14,0.0,1.0
1296,NS Tamhane (INDIA),21,27.0,5.0,225.0,10.22,0.0,1.0
1297,MJL Turnbull (ENG),9,13.0,2.0,224.0,20.36,0.0,1.0
1298,J Benaud (AUS),3,5.0,0.0,223.0,44.6,1.0,0.0
1299,TC Lowry (NZ),7,8.0,0.0,223.0,27.87,0.0,2.0
1300,KCG Benjamin (WI),26,36.0,8.0,222.0,7.92,0.0,0.0
1301,AE Greenidge (WI),6,10.0,0.0,222.0,22.2,0.0,2.0
1302,AA Mailey (AUS),21,29.0,9.0,222.0,11.1,0.0,0.0
1303,CW Smith (WI),5,10.0,1.0,222.0,24.66,0.0,1.0
1304,WS Farrer (SA),6,10.0,2.0,221.0,27.62,0.0,0.0
1305,DRA Gehrs (AUS),6,11.0,0.0,221.0,20.09,0.0,2.0
1306,MJ Henry (NZ),11,15.0,4.0,221.0,20.09,0.0,1.0
1307,Shafqat Rana (PAK),5,7.0,0.0,221.0,31.57,0.0,2.0
1308,RS Grant (WI),7,11.0,1.0,220.0,22.0,0.0,1.0
1309,MJ Leach (ENG),10,18.0,6.0,220.0,18.33,0.0,1.0
1310,MS Panesar (ENG),50,68.0,23.0,220.0,4.88,0.0,0.0
1311,NH Fairbrother (ENG),10,15.0,1.0,219.0,15.64,0.0,1.0
1312,H Hameed (ENG),3,6.0,1.0,219.0,43.8,0.0,2.0
1313,RA Hutton (ENG),5,8.0,2.0,219.0,36.5,0.0,2.0
1314,RT Latham (NZ),4,7.0,0.0,219.0,31.28,1.0,0.0
1315,IE O'Brien (NZ),22,34.0,5.0,219.0,7.55,0.0,0.0
1316,KJ Wright (AUS),10,18.0,5.0,219.0,16.84,0.0,1.0
1317,OE Wynne (SA),6,12.0,0.0,219.0,18.25,0.0,1.0
1318,JAH Marshall (NZ),7,11.0,0.0,218.0,19.81,0.0,1.0
1319,IT Shillingford (WI),4,7.0,0.0,218.0,31.14,1.0,0.0
1320,UWMBCA Welegedara (SL),21,30.0,6.0,218.0,9.08,0.0,0.0
1321,R Mutumbami (ZIM),6,12.0,1.0,217.0,19.72,0.0,0.0
1322,FR Spofforth (AUS),18,29.0,6.0,217.0,9.43,0.0,1.0
1323,Mohammad Rizwan (PAK),5,8.0,2.0,215.0,35.83,0.0,1.0
1324,W Storer (ENG),6,11.0,0.0,215.0,19.54,0.0,1.0
1325,JA Jameson (ENG),4,8.0,0.0,214.0,26.75,0.0,1.0
1326,JW Martin (AUS),8,13.0,1.0,214.0,17.83,0.0,1.0
1327,BS Sandhu (INDIA),8,11.0,4.0,214.0,30.57,0.0,2.0
1328,PJW Allott (ENG),13,18.0,3.0,213.0,14.2,0.0,1.0
1329,GA Lohmann (ENG),18,26.0,2.0,213.0,8.87,0.0,1.0
1330,BAW Mendis (SL),19,19.0,6.0,213.0,16.38,0.0,1.0
1331,TM Findlay (WI),10,16.0,3.0,212.0,16.3,0.0,0.0
1332,JL Kerr (NZ),7,12.0,1.0,212.0,19.27,0.0,1.0
1333,LPJ O'Brien (AUS),5,8.0,0.0,211.0,26.37,0.0,2.0
1334,DP Samaraweera (SL),7,14.0,0.0,211.0,15.07,0.0,0.0
1335,Shafiul Islam (BDESH),11,21.0,1.0,211.0,10.55,0.0,1.0
1336,MA Ealham (ENG),8,13.0,3.0,210.0,21.0,0.0,2.0
1337,Naimur Rahman (BDESH),8,15.0,1.0,210.0,15.0,0.0,0.0
1338,K Cranston (ENG),8,14.0,0.0,209.0,14.92,0.0,0.0
1339,AER Gilligan (ENG),11,16.0,3.0,209.0,16.07,0.0,0.0
1340,GA Greenidge (WI),5,9.0,2.0,209.0,29.85,0.0,1.0
1341,PS Heine (SA),14,24.0,3.0,209.0,9.95,0.0,0.0
1342,WW Whysall (ENG),4,7.0,0.0,209.0,29.85,0.0,2.0
1343,TJ Jenner (AUS),9,14.0,5.0,208.0,23.11,0.0,1.0
1344,VWC Jupp (ENG),8,13.0,1.0,208.0,17.33,0.0,0.0
1345,CT Sarwate (INDIA),9,17.0,1.0,208.0,13.0,0.0,0.0
1346,KJ Barnett (ENG),4,7.0,0.0,207.0,29.57,0.0,2.0
1347,SL Boock (NZ),30,41.0,8.0,207.0,6.27,0.0,0.0
1348,PG Joshi (INDIA),12,20.0,1.0,207.0,10.89,0.0,1.0
1349,RH Vance (NZ),4,7.0,0.0,207.0,29.57,0.0,1.0
1350,MRJ Veletta (AUS),8,11.0,0.0,207.0,18.81,0.0,0.0
1351,SP O'Donnell (AUS),6,10.0,3.0,206.0,29.42,0.0,0.0
1352,PI Pocock (ENG),25,37.0,4.0,206.0,6.24,0.0,0.0
1353,Gul Mohammad (INDIA/PAK),9,17.0,1.0,205.0,12.81,0.0,0.0
1354,TG Hogan (AUS),7,12.0,1.0,205.0,18.63,0.0,0.0
1355,SP Jones (ENG),18,18.0,5.0,205.0,15.76,0.0,0.0
1356,DJ Gandhi (INDIA),4,7.0,1.0,204.0,34.0,0.0,2.0
1357,CA Milton (ENG),6,9.0,1.0,204.0,25.5,1.0,0.0
1358,H Wood (ENG),4,4.0,1.0,204.0,68.0,1.0,1.0
1359,TM Alderman (AUS),41,53.0,22.0,203.0,6.54,0.0,0.0
1360,G Cook (ENG),7,13.0,0.0,203.0,15.61,0.0,2.0
1361,NLTC Perera (SL),6,10.0,0.0,203.0,20.3,0.0,1.0
1362,BKV Prasad (INDIA),33,47.0,20.0,203.0,7.51,0.0,0.0
1363,DE Bernard (WI),3,6.0,1.0,202.0,40.4,0.0,3.0
1364,W Brockwell (ENG),7,12.0,0.0,202.0,16.83,0.0,0.0
1365,WW Davis (WI),15,17.0,4.0,202.0,15.53,0.0,1.0
1366,AIC Dodemaide (AUS),10,15.0,6.0,202.0,22.44,0.0,1.0
1367,RM Ellison (ENG),11,16.0,1.0,202.0,13.46,0.0,0.0
1368,SC Guillen (NZ/WI),8,12.0,2.0,202.0,20.2,0.0,1.0
1369,CA McWatt (WI),6,9.0,2.0,202.0,28.85,0.0,2.0
1370,A McGrath (ENG),4,5.0,0.0,201.0,40.2,0.0,2.0
1371,T Panyangara (ZIM),9,18.0,6.0,201.0,16.75,0.0,0.0
1372,JTC Vaughan (NZ),6,12.0,1.0,201.0,18.27,0.0,0.0
1373,W Ferguson (WI),8,10.0,3.0,200.0,28.57,0.0,2.0
1374,ST Gabriel (WI),45,66.0,24.0,200.0,4.76,0.0,0.0
1375,Zulfiqar Ahmed (PAK),9,10.0,4.0,200.0,33.33,0.0,1.0
1376,Nawab of Pataudi snr (ENG/INDIA),6,10.0,0.0,199.0,19.9,1.0,0.0
1377,RO Jenkins (ENG),9,12.0,1.0,198.0,18.0,0.0,0.0
1378,H Moses (AUS),6,10.0,0.0,198.0,19.8,0.0,0.0
1379,CD Collymore (WI),30,52.0,27.0,197.0,7.88,0.0,0.0
1380,PB Dassanayake (SL),11,17.0,2.0,196.0,13.06,0.0,0.0
1381,FJ Laver (AUS),15,23.0,6.0,196.0,11.52,0.0,0.0
1382,AC Agar (AUS),4,7.0,1.0,195.0,32.5,0.0,1.0
1383,BA Barnett (AUS),4,8.0,1.0,195.0,27.85,0.0,1.0
1384,STR Binny (INDIA),6,10.0,1.0,194.0,21.55,0.0,1.0
1385,Shahid Nazir (PAK),15,19.0,3.0,194.0,12.12,0.0,0.0
1386,RMS Eranga (SL),19,26.0,11.0,193.0,12.86,0.0,0.0
1387,SG Gedye (NZ),4,8.0,0.0,193.0,24.12,0.0,2.0
1388,T Westley (ENG),5,9.0,1.0,193.0,24.12,0.0,1.0
