,Player,Mat,Inn,NO,Runs,Avg,100,50
221,SMH Kirmani (INDIA),88,124.0,22.0,2759.0,27.04,2.0,12.0
222,GN Yallop (AUS),39,70.0,3.0,2756.0,41.13,8.0,9.0
223,SJ McCabe (AUS),39,62.0,5.0,2748.0,48.21,6.0,13.0
224,Moin Khan (PAK),69,104.0,8.0,2741.0,28.55,4.0,15.0
225,Mahmudullah (BDESH),48,91.0,6.0,2739.0,32.22,4.0,16.0
226,Mohammad Ashraful (BDESH),61,119.0,5.0,2737.0,24.0,6.0,8.0
227,B Sutcliffe (NZ),42,76.0,8.0,2727.0,40.1,5.0,15.0
228,Mohsin Khan (PAK),48,79.0,6.0,2709.0,37.1,7.0,9.0
229,Shoaib Mohammad (PAK),45,68.0,7.0,2705.0,44.34,7.0,13.0
230,MG Burgess (NZ),50,92.0,6.0,2684.0,31.2,5.0,14.0
231,Q de Kock (SA),44,74.0,5.0,2683.0,38.88,5.0,18.0
232,JV Coney (NZ),52,85.0,14.0,2668.0,37.57,3.0,16.0
233,Mominul Haque (BDESH),38,71.0,4.0,2657.0,39.65,8.0,13.0
234,Sarfaraz Ahmed (PAK),49,86.0,13.0,2657.0,36.39,3.0,18.0
235,Kamran Akmal (PAK),53,92.0,6.0,2648.0,30.79,6.0,12.0
236,JA Rudolph (SA),48,83.0,9.0,2622.0,35.43,6.0,11.0
237,FM Engineer (INDIA),46,87.0,3.0,2611.0,31.08,2.0,16.0
238,WW Hinds (WI),45,80.0,1.0,2608.0,33.01,5.0,14.0
239,MJ Guptill (NZ),47,89.0,1.0,2586.0,29.38,3.0,17.0
240,Sadiq Mohammad (PAK),41,74.0,2.0,2579.0,35.81,5.0,10.0
241,RD Jacobs (WI),65,112.0,21.0,2577.0,28.31,3.0,14.0
242,RS Mahanama (SL),52,89.0,1.0,2576.0,29.27,4.0,11.0
243,C Washbrook (ENG),37,66.0,6.0,2569.0,42.81,6.0,12.0
244,GS Blewett (AUS),46,79.0,4.0,2552.0,34.02,4.0,15.0
245,JN Rhodes (SA),52,80.0,9.0,2532.0,35.66,3.0,17.0
246,GP Howarth (NZ),47,83.0,5.0,2531.0,32.44,6.0,11.0
247,SM Nurse (WI),29,54.0,1.0,2523.0,47.6,6.0,10.0
248,EJ Barlow (SA),30,57.0,2.0,2516.0,45.74,6.0,15.0
249,TL Goddard (SA),41,78.0,5.0,2516.0,34.46,1.0,18.0
250,A Kumble (INDIA),132,173.0,32.0,2506.0,17.77,1.0,5.0
251,BL D'Oliveira (ENG),44,70.0,8.0,2484.0,40.06,5.0,15.0
252,AL Logie (WI),52,78.0,9.0,2470.0,35.79,2.0,16.0
253,DW Randall (ENG),47,79.0,5.0,2470.0,33.37,7.0,12.0
254,W Bardsley (AUS),41,66.0,5.0,2469.0,40.47,6.0,14.0
255,KR Rutherford (NZ),56,99.0,8.0,2465.0,27.08,3.0,18.0
256,AP Gurusinha (SL),41,70.0,7.0,2452.0,38.92,7.0,8.0
257,P Roy (INDIA),43,79.0,4.0,2442.0,32.56,5.0,9.0
258,WJ Edrich (ENG),39,63.0,2.0,2440.0,40.0,6.0,13.0
259,DJ McGlew (SA),34,64.0,6.0,2440.0,42.06,7.0,10.0
260,TG Evans (ENG),91,133.0,14.0,2439.0,20.49,2.0,8.0
261,LEG Ames (ENG),47,72.0,12.0,2434.0,40.56,8.0,7.0
262,JHB Waite (SA),50,86.0,7.0,2405.0,30.44,4.0,16.0
263,Imran Farhat (PAK),40,77.0,2.0,2400.0,32.0,3.0,14.0
264,R Ashwin (INDIA),70,96.0,13.0,2385.0,28.73,4.0,11.0
265,MR Ramprakash (ENG),52,92.0,6.0,2350.0,27.32,2.0,12.0
266,W Rhodes (ENG),58,98.0,21.0,2325.0,30.19,2.0,11.0
267,S Dhawan (INDIA),34,58.0,1.0,2315.0,40.61,7.0,5.0
268,GT Dowling (NZ),39,77.0,3.0,2306.0,31.16,3.0,11.0
269,WM Woodfull (AUS),35,54.0,4.0,2300.0,46.0,7.0,13.0
270,TE Bailey (ENG),61,91.0,14.0,2290.0,29.74,1.0,10.0
271,PJP Burge (AUS),42,68.0,8.0,2290.0,38.16,4.0,12.0
272,SE Gregory (AUS),58,100.0,7.0,2282.0,24.53,4.0,8.0
273,MJK Smith (ENG),50,78.0,6.0,2278.0,31.63,3.0,11.0
274,SE Marsh (AUS),38,68.0,2.0,2265.0,34.31,6.0,10.0
275,RG Pollock (SA),23,41.0,4.0,2256.0,60.97,7.0,11.0
276,AW Nourse (SA),45,83.0,8.0,2234.0,29.78,1.0,15.0
277,Harbhajan Singh (INDIA),103,145.0,23.0,2224.0,18.22,2.0,9.0
278,H Masakadza (ZIM),38,76.0,2.0,2223.0,30.04,5.0,8.0
279,GJ Whittall (ZIM),46,82.0,7.0,2207.0,29.42,4.0,10.0
280,R Benaud (AUS),63,97.0,7.0,2201.0,24.45,3.0,9.0
281,DJ Bravo (WI),40,71.0,1.0,2200.0,31.42,3.0,13.0
282,VS Hazare (INDIA),30,52.0,6.0,2192.0,47.65,7.0,9.0
283,GA Headley (WI),22,40.0,4.0,2190.0,60.83,10.0,5.0
284,D Ganga (WI),48,86.0,2.0,2160.0,25.71,3.0,9.0
